Sample,Total,Aligned,Concordant
Aip02,67319,61939,60602
Aip05,74142,69362,67554
Aip06,85910,73459,70854
Aip12,87315,77368,74834
Aip13,128909,115926,113400
Aip14,79407,71112,67748
Aip15,94581,84809,82346
Aip17,82607,72024,69624
Aip18,89369,76986,73452
Aip19,83822,73413,71382
Aip20,88745,69099,67240
Aip21,120746,106428,102766
Aip23,95777,84505,81824
Aip24,73259,64855,61714
Aip25,99134,86371,83270
Aip26,70052,63084,61690
Aip28,63592,48220,45770
Aip29,105269,97939,96210
Aip30,92583,82691,80402
Aip32,81622,73636,71246
Aip33,110408,99014,96468
Aip34,71610,64147,62006
Aip35,107675,99640,98006
Aip36,85945,72610,70392
Unk,77840,38405,15266
